anchor_id,env_name,pos_x,pos_y,pos_z,q_w,q_x,q_y,q_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,has_collided
27,CityEnviron,-18.74303436279297,-21.09144401550293,-26.83338165283203,-0.20947596430778503,0.030873870477080345,-0.07636217027902603,0.9743384718894958,0.9961333870887756,-0.81089848279953,-0.11930127441883087,0.13244256377220154,-0.2802191376686096,0.002024637535214424,False
28,CityEnviron,-18.877822875976562,-21.682764053344727,-26.651769638061523,-0.20031261444091797,-0.019934488460421562,-0.09848145395517349,0.9745659828186035,-0.8844137787818909,0.6010223627090454,0.250517874956131,2.4047374725341797,-0.07573787868022919,0.005737788043916225,False
29,CityEnviron,-18.855003356933594,-21.058401107788086,-26.71002769470215,-0.1977640986442566,-0.014624218456447124,-0.025084124878048897,0.9798195362091064,0.7798126339912415,0.6645957231521606,-0.8469905853271484,0.8038252592086792,-1.4361796379089355,0.0008570316713303328,False
30,CityEnviron,-19.23072052001953,-19.966279983520508,-27.468833923339844,-0.1897670179605484,0.018545662984251976,-0.015550084412097931,0.9815308451652527,-1.2050154209136963,1.314530372619629,0.369185209274292,1.1964173316955566,0.7289403676986694,-0.009335868991911411,False
31,CityEnviron,-19.121307373046875,-17.87748908996582,-28.228845596313477,-0.1833844631910324,-0.042685870081186295,0.04195820167660713,0.9812173843383789,1.3539029359817505,2.006242036819458,-0.0049228304997086525,0.39343953132629395,-2.038688898086548,0.006925531663000584,False
32,CityEnviron,-17.98782730102539,-16.544145584106445,-28.65891456604004,-0.15991230309009552,0.08733373135328293,-0.04299383983016014,0.9823199510574341,-0.24935603141784668,1.2105201482772827,0.1845780611038208,1.2346293926239014,0.8722065687179565,-0.016105184331536293,False
33,CityEnviron,-18.33319664001465,-15.730305671691895,-28.473581314086914,-0.1611047238111496,-0.026806481182575226,0.10251253098249435,0.9812328219413757,0.2561468482017517,-0.768971860408783,-1.1828384399414062,-2.8167529106140137,-0.15413141250610352,-0.0016077765030786395,False
34,CityEnviron,-18.304445266723633,-16.035863876342773,-30.365068435668945,-0.1374354362487793,-0.05343843251466751,0.08622883260250092,0.985302209854126,0.7806119918823242,-0.9032182693481445,-1.708375096321106,-1.9895477294921875,-0.8238002061843872,-0.019606266170740128,False
35,CityEnviron,-18.547224044799805,-15.649870872497559,-31.84891700744629,-0.08206688612699509,-0.08988912403583527,-0.0036298951599746943,0.9925582408905029,-0.04730244725942612,1.3332961797714233,-0.6139812469482422,0.9930832386016846,-1.4134101867675781,-0.000187960104085505,False
36,CityEnviron,-18.696056365966797,-14.56734561920166,-32.28922653198242,-0.07558318227529526,-0.052887797355651855,-0.041442472487688065,0.9948731660842896,0.31185197830200195,1.4071896076202393,-0.19947519898414612,1.176800012588501,-0.9592204689979553,0.020088976249098778,False
37,CityEnviron,-17.830001831054688,-13.804418563842773,-32.90450668334961,-0.05280396714806557,0.08923204243183136,0.029854178428649902,0.9941620826721191,-0.093989297747612,-0.43523162603378296,-1.0857281684875488,-0.7724342942237854,1.161157250404358,0.007707849144935608,False
